,emotion,content,updated_content
0,neutral,@FOOLYWANG I hope so too.  How are you?,hope
4,neutral,"I don't think I've ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",dont think give tire lifeughgoodnightso sleep tomorrow
7,neutral,"@nkotbgadget Follow me please, so I can DM you...",follow do
20,neutral,@RainyCityLove I like that  Tehe x,like the x
29,neutral,@pcsketch It would be cheaper to take on The Spirit Of Tasmania (The ship from the island I am on). Busses are expensive to ship,cheaper spirit tasmania (the ship island on) bush expens ship
32,neutral,"$ES_F interestign setup,the FED is forced to buy bonds,whic pressures stocks,while the gvnmt spins news to raise stocks,left&amp;right hand",$est interest setupth fed forc buy bondswhic pressur stockswhil genet spine news rais stocksleftampright hand
35,neutral,at MKG 3 now. and all alone,mug
38,neutral,home not well hate not workin,home hate work
50,neutral,"@Umi_and_Alter oh, really i must of missed that post",oh miss post
55,neutral,@Natalija been there  sucks like hell.,suck like hell
61,neutral,"@DevonStebnicki sux, I'm thinking of being an accountant. Mad monies! I'm a middleschool cafeteria manager  (25k/yr)",six in think account mad poni in middleschool cafeteria manag (k/or)
65,neutral,one year since I met matt corby,year met matt cri
72,neutral,@Gen22 I can't blip right now!,can lip right
76,neutral,exam at 8.,exam
84,neutral,Golden Girls marathon about to end  #lofnotc,golden girl marathon end #lofnotc
115,neutral,Movie and popcorn time,movi popcorn time
117,neutral,"Going to REtake my Softball photo because Patrick's Studio is a piece of shit. Back here for chores. Some Friday, huh?",go retaken footbal photo patrick studio piec shit shore friday hut
119,neutral,"@endlessblush I was ready half an hour ago, but you didn't notice. I'm over it now.",readi half hour ago didn notic in
122,neutral,@PetesterZ @riceagain: They R sending TW business ppl 2 the mainland 2 return the favor - Re: Chinese police representatives in TW,r send to busi pp mainland return favor re: chine polic repres to
123,neutral,Curse you breakfast gods....full bowl of cereal + not enough milk =,cur breakfast godsful bowl cereal + milk =
125,neutral,@OGBERRY cold and rainy,cold raini
144,neutral,WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,tri deep insid no pain
145,neutral,Good morning! I'm just woke up it's Mother's Day,good morn in woke mother day
148,neutral,"time to relieve stress at the gym!! Someone should write speeches, take exams and do research for me",time reliev stress grm write speech exam research
159,neutral,Going to bed now  *thinks I Twitter WAY too much*,go bed *think twitter way much*
160,neutral,@FTSKirstin its taking forever to upload,take forev unload
166,neutral,@Asfaq He is on an iPhone,phone
167,neutral,@tweetvisor what happened to my real-time feed? Now friend feed is just like the Twitter website,happen realiz feed friend feed like twitter webster
170,neutral,@Jordanknight Hi Jordan i'm gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don't leave us out.,hi jordan in donna i know or busi know or probabl tire schedul no dont leav
172,neutral,Is sooo waking both of them up on my way back to SB  good night america,soon wake way s good night america
176,neutral,"im with andrew  it was a long, but fun day",in andrew long fun day
179,neutral,@ivyandres its a nice pair of shoes. i checked other nike shoes if its worth buying... it is,nice pair shoe check like shoe worth buy
180,neutral,Still working,work
182,neutral,@JWess awww  ok lol hopefully by than im still here and not back over in the states,www ok ll hope in state
187,neutral,I am sooo tired,soon tire
191,neutral,"@jonraff I jus spoke 2 my lawyer, if I blow trial =3to7",just spoke lawyer blow trial =to
194,neutral,"@KyriiK i love you , too",love
196,neutral,"Tomorrowland central hasn't gotten confirmation that I'm signed off on Star Tours, so just waiting to see if they can give me a shift.",tomorrowland central hasn gotten confirm in sign star hour wait shift
204,neutral,@LadyFarrahGiano how's the baby fever,how babi fever
205,neutral,@victor_go you sure ?,sure
208,neutral,has a sore throat,sore throat
209,neutral,Again.. check out http://www.myspace.com/therealfunkymonkey  ....these guys rock this one too  ? http://blip.fm/~5jkbc,check http://wwwmyspacecom/therealfunkymonkey gun rock http://blipfm/~job
210,neutral,@AlliWorthington hi Ms. Fussy  *waves*,hi m fussi *waves*
214,neutral,@shaundiviney i already do,
217,neutral,@ismh i don't have anything being fwd through to mobileme and the last week i've gotten at least 4 -5 spam messages a day,dont fed mobil week give gotten spasm messag day
218,neutral,Am I the only one who likes Mondays?,like monday
222,neutral,"@helen_bop and that marisa mauro can go use a banana as a dildo. srsly, some people are such arseholes",maria mari use banana did sure peopl arsehol
225,neutral,@zionxpress happy mothers day,happi mother day
228,neutral,"@juliaakes hahaha, perfect, my procrastination finally caught up with me so I am not part of the savage mob",havana perfect procrastin final caught savag mob
232,neutral,"@Mattro heh, i meant differences between b3 and b4",heh meant differ b b
234,neutral,"So, #primavera is in Barcelona. In Spain. Surely Ruth Lorenzo must be here, right? BTW Jarvis has a walking stick",#primavera barcelona spain sure ruth lorenzo right bow pari walk stick
250,neutral,"Thank goodness for starbucks iced coffee...I was feeling so sluggish today, I think its this awful LA weather",thank good starbuck ice coffe feel sluggish today think aw la weather
255,neutral,I wanna make a new vlog update tomorrow. But I have homework to do as well.,anna new log updat tomorrow homework
258,neutral,"Going to bed, with peter.",go bed peter
259,neutral,"@balkanbeat No, a-ha is unfortunatelly from Norway. We have a big family happening and therefore we need some old hits",ah unfortun norway big famili happen need old hit
262,neutral,Happy Mother's day to all beautiful mother. May your love shines the world  Thank you mum.....,happi mother day beauti mother love shine world thank sum
